B1,B4-6,D1,E11a,A1,opinionated,A3
7,10,7,1,4,0,very positive
6,12,20,3,4,0,positive
7,13,12,1,4,1,not positive
8,12,14,2,2,0,not positive
8,3,18,4,2,0,not positive
7,5,10,2,2,0,not positive
7,13,23,4,2,0,not positive
8,5,8,2,2,1,positive
7,12,15,2,2,0,not positive
7,13,9,2,4,0,not positive
7,5,18,2,4,1,positive
7,5,13,2,4,1,positive
7,4,6,2,4,0,very positive
7,4,9,1,4,0,very positive
7,3,21,2,1,0,not positive
8,8,7,1,4,0,positive
6,5,24,3,4,0,not positive
7,4,8,1,4,0,very positive
7,12,8,2,2,1,very positive
7,5,12,2,2,1,very positive
6,5,11,1,5,1,not positive
8,7,6,1,4,0,very positive
8,4,7,2,2,0,very positive
7,13,10,2,2,0,very positive
6,5,21,3,2,1,not positive
8,13,8,1,4,1,very positive
8,4,13,3,4,0,positive
7,4,9,1,5,1,positive
7,5,11,2,4,0,positive
7,5,8,2,4,1,very positive
8,8,6,1,4,0,very positive
7,4,6,1,4,0,very positive
7,8,20,4,4,0,positive
7,6,8,1,2,1,very positive
7,9,11,2,4,0,positive
8,4,9,2,4,0,positive
7,10,17,2,4,0,very positive
7,4,7,2,4,0,positive
7,9,8,4,2,0,not positive
6,4,8,1,4,1,positive
7,5,6,1,4,0,very positive
8,12,8,1,4,0,positive
8,5,15,2,5,0,not positive
7,4,8,1,4,1,very positive
8,3,11,1,2,0,not positive
8,3,7,2,4,0,very positive
8,9,7,2,2,1,very positive
7,12,26,4,4,1,positive
7,13,19,2,2,1,positive
8,12,18,2,2,0,not positive
6,12,9,2,4,0,very positive
7,4,20,2,2,0,not positive
7,8,16,2,4,1,positive
6,12,11,2,4,0,positive
8,4,6,2,4,0,very positive
7,13,7,1,5,0,very positive
7,4,6,2,5,0,very positive
7,4,6,1,2,1,positive
8,4,15,4,2,1,not positive
7,4,7,2,4,1,very positive
8,5,10,3,2,0,positive
8,3,9,1,4,0,very positive
8,5,11,2,4,1,positive
7,9,18,3,4,0,very positive
7,4,8,1,4,1,very positive
7,4,12,2,4,1,not positive
7,5,8,2,2,1,positive
8,12,16,1,4,1,positive
8,4,7,2,4,1,positive
7,12,10,2,1,0,very positive
5,10,13,1,4,0,not positive
8,6,7,3,2,0,very positive
8,13,6,2,2,0,positive
8,3,12,3,1,0,very positive
8,4,9,1,4,0,positive
8,9,6,2,4,1,positive
6,6,8,2,5,1,positive
8,4,6,1,4,0,very positive
8,4,8,1,5,1,very positive
7,5,12,2,1,1,positive
7,13,10,3,2,0,positive
8,3,14,4,2,0,not positive
6,10,8,1,2,0,very positive
7,4,7,1,5,0,very positive
7,12,14,2,4,1,positive
8,5,6,4,1,1,not positive
6,8,7,2,4,0,very positive
7,8,9,1,4,0,positive
7,6,9,2,4,1,very positive
7,12,15,2,4,0,not positive
8,8,10,2,4,1,positive
7,13,14,2,2,1,not positive
6,13,14,4,2,1,positive
7,5,15,3,4,0,very positive
7,4,7,2,4,0,positive
7,13,8,1,4,0,very positive
8,8,6,1,4,0,positive
7,12,8,2,4,0,positive
7,4,6,2,4,0,positive
6,5,22,1,4,0,positive
8,5,6,1,4,1,very positive
6,12,13,1,4,0,very positive
7,4,15,3,4,0,positive
7,13,8,1,5,1,positive
7,9,17,3,2,0,very positive
7,13,11,2,4,0,not positive
8,4,15,1,4,0,not positive
7,12,12,2,4,1,positive
8,13,7,1,4,1,positive
8,4,9,3,4,1,not positive
7,13,10,2,2,0,not positive
8,4,8,2,4,1,positive
7,12,8,2,1,1,very positive
7,12,13,2,4,0,not positive
6,6,14,2,1,0,not positive
7,8,8,1,4,1,positive
7,13,11,2,4,1,very positive
7,5,13,1,4,1,positive
8,4,6,1,4,1,positive
8,4,10,3,2,0,not positive
8,4,8,2,2,0,positive
6,5,15,1,4,0,positive
8,7,8,2,4,0,very positive
7,4,8,1,4,0,very positive
6,12,13,3,4,1,positive
7,13,11,1,2,0,very positive
7,13,11,2,4,0,not positive
8,4,6,2,4,0,positive
7,5,9,2,4,1,positive
7,4,9,2,4,0,very positive
8,5,7,2,4,0,positive
7,12,12,2,2,0,positive
7,12,8,4,2,0,positive
7,5,21,3,1,1,not positive
7,6,11,2,4,0,positive
8,4,7,2,5,0,very positive
7,13,19,4,4,1,not positive
7,11,12,2,4,1,very positive
7,12,7,2,4,1,positive
6,9,9,2,2,1,not positive
7,12,9,2,4,0,positive
7,4,20,2,4,0,not positive
6,11,16,2,4,1,not positive
8,12,9,3,2,0,not positive
7,4,13,1,4,0,very positive
7,12,11,2,4,1,very positive
7,5,20,3,4,0,not positive
7,9,18,2,4,0,not positive
4,12,6,2,4,1,very positive
7,13,18,3,4,0,very positive
4,13,12,1,2,1,positive
7,12,6,3,4,1,positive
8,5,9,1,4,0,very positive
8,5,28,3,2,1,not positive
6,12,17,2,4,1,positive
7,8,7,1,4,1,very positive
8,13,8,2,4,1,positive
7,5,6,1,4,0,positive
8,5,8,2,5,0,very positive
7,4,9,2,4,0,very positive
7,4,6,1,4,0,very positive
7,12,21,4,2,1,not positive
7,6,14,3,5,1,positive
6,13,14,2,4,0,positive
8,13,8,1,4,0,very positive
7,13,15,2,4,0,positive
8,12,6,2,4,0,very positive
7,4,7,1,4,1,positive
7,9,16,1,4,0,positive
8,4,7,2,4,0,very positive
8,12,6,1,5,1,very positive
7,4,21,1,4,0,positive
7,7,8,3,2,0,not positive
8,13,6,1,5,1,very positive
6,8,21,2,4,1,positive
7,7,9,1,2,0,positive
7,11,8,1,5,1,very positive
6,12,17,2,4,0,positive
7,12,7,1,2,0,very positive
8,12,16,2,2,1,positive
7,13,15,4,2,0,not positive
8,10,7,1,5,0,very positive
7,4,8,3,4,0,very positive
8,3,9,2,4,0,positive
7,5,8,2,4,0,very positive
7,5,10,1,4,0,very positive
8,7,6,1,5,1,very positive
8,5,8,2,2,0,positive
8,8,7,1,4,0,very positive
8,6,6,1,4,0,very positive
8,4,6,1,4,0,very positive
7,4,9,1,5,1,very positive
7,4,9,4,4,0,positive
6,6,15,2,4,1,very positive
7,13,11,1,2,1,not positive
8,8,6,2,2,1,very positive
8,3,7,2,4,1,positive
8,12,9,2,4,1,positive
7,9,7,1,4,0,very positive
8,4,9,3,4,0,positive
7,4,14,1,2,0,not positive
7,12,7,4,5,1,very positive
8,12,8,2,4,1,positive
7,4,7,2,5,1,very positive
8,4,16,2,4,0,positive
7,5,9,2,5,0,positive
7,5,8,2,5,1,very positive
8,11,19,1,2,0,not positive
8,4,7,1,5,0,very positive
7,13,17,2,4,0,positive
7,13,6,1,2,0,positive
7,10,20,1,4,0,positive
8,3,18,4,4,1,not positive
8,4,6,2,4,1,positive
7,4,12,2,4,1,positive
6,12,10,2,4,0,positive
7,5,7,1,4,0,very positive
8,4,23,2,2,0,not positive
7,7,8,1,4,1,not positive
7,4,7,2,4,0,very positive
7,4,6,2,4,0,very positive
7,10,12,3,4,0,positive
7,5,6,1,4,0,very positive
7,5,14,2,4,0,positive
6,5,14,2,4,1,very positive
6,9,7,2,1,0,very positive
7,9,20,2,2,1,positive
7,10,10,2,2,0,very positive
8,11,6,1,4,1,very positive
7,13,8,2,4,0,positive
6,5,8,1,4,0,very positive
7,4,8,1,4,0,positive
7,6,22,2,2,1,positive
7,4,15,1,4,0,very positive
8,4,12,1,4,1,very positive
7,10,10,2,4,1,positive
6,7,14,1,4,0,very positive
8,12,7,1,4,1,positive
6,4,12,2,4,0,positive
7,7,18,1,4,0,not positive
8,5,21,2,4,0,not positive
5,4,7,2,4,1,positive
7,8,10,2,4,1,positive
8,9,6,1,4,0,positive
7,6,14,2,4,0,positive
8,8,13,2,4,0,not positive
7,3,30,3,5,1,not positive
6,5,6,2,4,0,very positive
7,7,23,1,1,0,not positive
7,8,7,1,4,1,very positive
7,13,8,2,2,0,positive
5,4,9,1,4,0,very positive
5,13,8,2,4,0,positive
7,12,10,2,2,0,positive
8,3,8,2,4,0,positive
7,5,9,2,4,0,not positive
6,4,18,1,2,0,not positive
6,7,15,2,2,0,positive
8,12,11,2,4,1,positive
8,5,6,1,4,1,not positive
7,12,8,2,2,1,not positive
8,9,22,4,4,0,positive
8,5,9,1,2,0,very positive
7,4,8,2,4,0,positive
7,13,20,1,4,0,positive
8,4,23,3,4,0,not positive
7,5,6,1,4,0,positive
7,4,9,1,4,0,very positive
7,8,8,1,4,1,very positive
8,4,10,2,4,0,positive
8,4,9,3,4,1,not positive
6,5,11,1,4,1,positive
8,4,6,2,2,0,not positive
6,13,22,2,2,0,not positive
7,6,8,1,4,0,positive
7,3,8,2,4,0,positive
7,8,14,2,2,0,very positive
6,10,13,2,2,0,positive
7,4,6,2,5,1,very positive
6,10,12,2,2,1,not positive
7,11,16,3,2,0,not positive
6,4,9,3,2,0,positive
6,13,16,2,2,0,positive
6,12,19,2,2,0,not positive
8,4,7,2,4,0,very positive
7,12,14,2,2,0,not positive
7,5,14,2,4,1,positive
7,5,9,2,4,0,positive
8,3,7,1,4,0,not positive
7,4,6,1,4,0,very positive
8,6,6,1,4,0,positive
7,12,6,1,4,0,positive
8,12,6,2,4,1,very positive
7,3,9,3,5,0,very positive
7,4,10,2,4,0,very positive
8,12,6,1,4,1,positive
8,3,6,2,4,1,positive
7,8,18,1,2,0,positive
7,4,13,2,4,0,positive
7,11,16,3,2,0,not positive
6,9,6,2,4,1,very positive
7,12,9,1,4,0,positive
7,12,10,1,2,1,not positive
7,5,13,2,4,0,positive
6,13,17,2,4,0,positive
8,4,6,2,4,0,very positive
6,12,6,1,4,0,very positive
6,9,14,2,4,0,positive
7,3,10,3,4,0,positive
7,12,16,1,5,0,very positive
7,13,14,2,2,1,not positive
7,13,17,1,2,1,positive
7,12,15,1,4,0,not positive
6,12,13,2,4,0,positive
7,5,8,2,5,0,very positive
8,11,15,3,4,0,positive
7,4,8,1,2,0,very positive
8,5,7,2,2,0,positive
8,12,6,1,4,0,very positive
7,6,10,1,4,1,positive
6,13,9,3,4,0,positive
7,12,8,2,2,0,positive
7,8,6,1,2,0,positive
7,6,8,2,4,0,very positive
8,13,6,2,4,0,positive
8,4,10,1,4,0,positive
7,8,18,2,4,0,not positive
7,13,20,2,1,1,not positive
8,13,6,1,2,0,very positive
7,12,9,1,2,0,not positive
7,10,9,2,2,1,positive
7,10,17,2,4,0,positive
7,11,8,1,4,1,positive
7,6,29,3,2,1,not positive
7,13,9,2,2,0,not positive
6,7,9,1,4,1,positive
8,8,7,1,4,1,very positive
7,13,11,1,4,0,not positive
7,9,9,2,2,0,positive
8,5,6,2,5,1,very positive
8,4,6,1,4,0,very positive
7,4,12,2,4,1,positive
8,4,19,3,5,1,not positive
7,4,7,1,4,0,positive
7,4,11,2,4,0,positive
6,4,11,2,4,1,very positive
7,3,6,2,2,0,very positive
7,4,7,2,4,1,very positive
6,5,7,1,5,1,very positive
6,13,12,3,5,1,very positive
8,4,6,2,5,0,very positive
6,5,15,2,2,0,positive
7,12,8,2,4,1,very positive
7,6,11,2,4,1,positive
7,7,9,2,4,0,very positive
7,6,10,1,4,0,positive
7,7,7,1,5,0,very positive
8,4,10,3,2,0,positive
8,4,7,2,4,1,positive
7,4,22,3,1,0,not positive
7,4,16,3,4,0,not positive
8,11,13,1,1,1,not positive
7,4,14,2,4,1,positive
8,5,8,3,4,1,positive
8,5,6,4,5,0,not positive
6,10,14,2,4,0,positive
7,4,9,1,4,0,very positive
7,4,12,4,1,0,not positive
8,4,19,2,2,0,not positive
6,10,7,1,4,0,very positive
7,5,7,2,4,0,very positive
7,4,13,2,4,1,positive
7,6,11,2,4,0,positive
7,6,8,2,2,1,positive
7,12,10,2,4,1,positive
7,5,20,2,4,0,not positive
6,12,12,2,4,0,positive
6,5,10,1,2,0,positive
7,11,10,2,4,0,positive
8,4,12,2,4,1,very positive
7,4,9,2,4,1,very positive
7,12,9,1,4,0,positive
8,6,12,3,4,1,positive
8,4,14,2,4,0,positive
7,4,12,2,4,0,very positive
7,12,14,1,4,0,positive
5,13,19,2,4,0,not positive
6,8,11,2,2,1,not positive
6,5,7,2,2,1,not positive
6,12,17,4,4,1,not positive
7,5,8,3,4,0,positive
8,6,6,1,5,0,very positive
8,3,12,2,2,0,positive
6,12,9,1,4,0,not positive
6,13,17,2,4,0,not positive
7,12,11,2,4,0,very positive
7,11,17,2,4,1,positive
8,4,18,2,4,0,not positive
7,4,7,1,4,1,very positive
7,4,10,2,4,0,very positive
7,3,13,1,4,1,positive
7,12,7,1,5,0,very positive
7,5,7,2,4,1,very positive
8,4,6,1,4,0,very positive
7,12,7,1,5,0,very positive
8,12,8,1,4,1,very positive
6,12,15,1,4,0,positive
8,12,19,1,4,0,positive
6,13,20,2,2,1,positive
8,8,6,2,4,0,very positive
8,4,8,2,4,0,positive
7,9,19,1,1,0,not positive
8,6,10,1,4,0,very positive
7,12,21,2,4,0,positive
7,4,27,2,2,1,not positive
8,4,9,1,4,0,positive
8,8,13,2,4,0,positive
8,6,7,4,1,1,very positive
7,4,6,2,4,0,very positive
8,10,15,2,4,0,very positive
7,4,6,2,4,0,very positive
7,11,17,1,4,1,not positive
8,11,8,1,4,0,positive
7,13,11,4,4,1,positive
7,4,14,2,4,1,not positive
8,11,8,1,4,1,very positive
6,8,8,1,4,0,positive
8,11,9,1,4,0,positive
5,13,13,4,2,0,positive
6,9,6,2,4,1,very positive
7,4,7,1,4,0,very positive
7,13,11,2,4,0,not positive
7,5,11,2,4,0,very positive
8,6,6,1,2,1,positive
8,4,6,2,2,0,not positive
8,13,18,3,2,0,not positive
7,11,7,1,5,0,very positive
8,10,11,1,4,1,very positive
8,6,8,2,4,0,very positive
6,11,9,2,4,1,positive
7,5,16,2,4,0,not positive
6,5,10,1,4,1,very positive
8,7,18,3,4,0,very positive
7,13,17,3,4,0,not positive
7,4,6,2,4,1,very positive
6,11,19,3,2,0,not positive
6,12,25,4,5,1,not positive
7,13,11,1,4,0,positive
7,6,19,4,2,1,not positive
8,12,6,2,4,1,positive
8,3,6,2,4,1,very positive
7,12,6,2,4,0,positive
7,4,8,2,5,1,positive
7,7,16,3,4,0,positive
6,7,10,2,4,0,very positive
7,5,24,4,1,0,not positive
8,10,8,1,4,1,very positive
7,6,13,2,4,0,positive
7,4,18,2,2,0,positive
8,3,9,1,5,1,very positive
7,12,11,2,2,0,not positive
7,6,17,2,4,0,positive
8,5,12,2,4,0,not positive
8,8,9,1,4,0,very positive
8,12,10,2,2,0,positive
7,12,13,2,2,0,not positive
7,5,10,1,4,0,very positive
7,4,8,2,4,1,positive
7,12,7,2,4,1,positive
6,5,12,2,2,0,not positive
8,13,9,2,1,0,not positive
8,4,8,2,4,1,very positive
8,4,8,2,2,1,very positive
7,8,14,2,2,0,positive
8,11,6,1,4,0,positive
7,4,12,1,4,1,positive
8,9,8,2,4,1,not positive
7,5,7,1,4,0,positive
8,4,7,1,4,1,very positive
7,12,16,3,4,0,positive
7,11,7,1,4,0,positive
7,12,16,1,3,1,not positive
7,14,18,3,2,1,not positive
6,11,15,1,2,0,positive
7,4,13,2,4,0,positive
7,9,6,1,4,1,very positive
7,13,10,2,4,0,positive
8,3,6,1,4,1,positive
7,12,7,1,4,1,very positive
6,5,11,1,2,0,very positive
7,5,7,2,5,1,very positive
7,11,7,4,2,0,not positive
7,12,9,1,4,1,not positive
8,11,8,3,2,0,not positive
7,13,16,1,2,0,positive
7,6,9,1,2,0,not positive
6,12,12,1,4,0,positive
7,13,14,2,4,1,positive
7,5,9,3,4,0,positive
7,5,8,2,4,0,positive
8,8,18,3,2,0,not positive
7,7,14,2,5,0,very positive
7,4,20,3,2,1,not positive
5,14,19,1,2,1,positive
8,11,8,1,2,0,very positive
7,5,6,2,4,1,very positive
8,10,20,2,4,1,very positive
6,3,11,2,4,0,positive
7,3,8,2,5,0,very positive
8,5,6,2,4,1,very positive
7,4,8,2,4,0,positive
6,3,7,2,2,0,not positive
7,12,7,1,4,1,not positive
7,5,12,3,4,1,very positive
7,7,8,1,4,0,very positive
7,11,17,1,2,0,not positive
8,12,20,2,4,1,not positive
7,5,12,4,4,0,positive
8,13,11,2,2,1,not positive
7,6,6,2,4,0,very positive
7,5,7,2,1,0,very positive
7,8,16,1,1,1,very positive
8,3,6,1,4,0,very positive
7,12,9,2,2,0,positive
6,8,8,2,4,0,very positive
7,11,11,1,5,0,very positive
8,4,9,2,4,1,very positive
6,4,13,1,4,0,not positive
8,4,12,2,5,0,positive
5,6,8,1,4,1,positive
7,6,6,2,5,1,very positive
7,6,25,2,4,0,not positive
8,10,9,2,4,0,very positive
8,4,8,2,2,0,positive
7,4,7,1,4,0,very positive
8,10,7,1,2,1,positive
7,12,7,3,2,0,very positive
8,5,7,2,5,1,positive
7,11,8,1,2,0,very positive
8,12,7,2,4,1,very positive
7,8,13,3,2,0,not positive
8,11,16,2,1,0,not positive
7,12,11,2,4,0,very positive
7,5,11,2,4,0,not positive
7,8,8,1,4,0,positive
8,6,7,1,4,0,positive
8,13,8,2,2,1,positive
7,8,9,2,4,1,positive
7,5,7,2,4,1,very positive
8,11,6,1,4,1,very positive
6,13,9,1,4,1,very positive
7,12,6,2,5,0,very positive
7,7,9,3,4,0,positive
7,4,6,2,5,0,very positive
6,12,8,3,5,1,very positive
8,6,7,2,4,1,very positive
7,6,13,1,4,1,not positive
7,13,11,2,4,1,positive
7,13,15,2,4,0,positive
8,4,9,4,4,0,positive
7,12,6,2,2,0,not positive
6,13,16,2,5,0,positive
7,9,11,2,4,0,very positive
8,4,11,2,2,0,not positive
7,11,6,2,4,1,very positive
7,4,6,2,5,1,positive
7,10,11,1,4,0,positive
7,4,11,3,2,1,positive
7,11,17,3,4,1,not positive
8,4,8,2,4,0,positive
8,11,6,1,4,1,very positive
8,5,9,1,4,0,very positive
7,6,8,1,5,0,very positive
7,11,9,3,4,1,very positive
8,3,6,1,5,1,very positive
5,13,22,2,4,0,positive
7,4,9,2,4,1,very positive
7,4,14,2,1,1,not positive
7,4,21,2,2,0,not positive
8,8,6,1,4,0,very positive
7,12,23,1,2,0,not positive
8,12,10,2,4,1,not positive
8,4,9,2,4,1,positive
7,5,15,2,4,1,very positive
6,12,8,2,4,1,not positive
6,13,15,1,4,0,very positive
8,4,12,2,2,0,very positive
6,7,7,4,3,0,positive
7,13,15,2,4,0,positive
7,4,13,2,4,0,positive
8,4,11,2,1,1,positive
7,5,7,3,4,0,positive
7,5,14,2,4,0,positive
7,4,11,2,4,0,not positive
8,10,9,3,5,0,very positive
7,8,8,2,4,0,positive
7,4,19,2,4,0,positive
7,13,7,2,2,1,positive
7,12,9,2,4,0,very positive
8,3,17,2,5,0,very positive
7,11,6,1,4,0,very positive
7,4,13,3,4,0,positive
7,13,16,1,4,1,not positive
8,4,6,2,4,1,positive
7,5,10,2,5,0,very positive
8,5,6,1,4,1,very positive
6,13,11,3,4,0,positive
7,10,8,1,5,0,very positive
7,9,22,2,1,0,not positive
8,10,18,1,4,0,very positive
8,4,9,2,4,0,very positive
7,4,13,1,4,0,not positive
6,4,10,1,2,0,very positive
7,13,9,2,4,0,not positive
8,5,6,2,4,1,positive
8,4,6,1,5,1,very positive
7,4,11,1,4,1,positive
8,8,6,3,4,0,positive
8,4,6,1,4,0,very positive
4,5,23,2,4,1,positive
7,4,19,2,4,0,very positive
7,12,6,2,5,1,very positive
7,12,10,1,4,0,positive
8,4,6,1,4,1,very positive
8,4,7,2,4,0,positive
8,3,9,1,4,1,positive
7,4,6,3,2,0,not positive
8,4,6,2,2,0,not positive
7,5,12,2,4,0,positive
7,12,19,3,4,1,very positive
8,8,6,2,4,1,very positive
7,10,21,3,2,0,not positive
6,9,11,2,4,1,positive
8,4,14,4,4,1,very positive
8,6,9,2,2,0,very positive
7,6,11,2,4,0,positive
8,4,7,1,4,1,very positive
8,4,10,1,5,1,very positive
7,4,14,1,4,0,positive
8,4,14,2,4,1,positive
6,5,17,3,2,0,not positive
7,5,12,3,2,0,not positive
7,3,6,1,4,1,very positive
6,5,18,1,4,1,very positive
8,4,8,1,5,0,very positive
7,8,7,1,2,1,very positive
7,4,21,2,4,0,positive
8,5,13,1,4,0,very positive
7,3,6,1,4,1,very positive
6,5,14,1,4,0,very positive
8,12,6,1,4,1,not positive
8,4,6,2,5,1,very positive
8,4,7,2,5,1,very positive
7,3,7,1,4,1,very positive
6,13,7,2,4,0,very positive
7,12,6,2,4,0,positive
7,9,8,2,4,0,positive
7,9,6,1,4,1,very positive
8,5,9,1,4,1,very positive
7,13,15,2,4,1,not positive
7,5,11,1,4,0,positive
7,4,10,1,4,1,positive
7,13,21,4,5,1,not positive
7,5,8,2,5,1,very positive
6,5,8,2,4,1,positive
5,13,23,3,4,1,not positive
6,10,19,3,4,0,not positive
7,12,10,2,5,1,very positive
8,12,6,1,4,0,very positive
7,13,14,1,4,0,not positive
7,4,8,2,4,1,positive
7,10,15,4,4,0,not positive
6,12,9,1,4,0,not positive
7,8,17,2,4,0,not positive
8,3,8,1,4,1,positive
8,4,8,2,4,0,very positive
7,13,22,2,4,0,not positive
8,4,15,2,4,1,not positive
7,12,23,3,4,1,not positive
8,3,9,1,4,1,very positive
7,4,11,2,4,0,very positive
6,12,20,3,4,0,positive
7,4,12,3,4,0,positive
6,4,20,2,2,0,not positive
8,4,6,1,5,1,positive
7,11,12,2,2,0,not positive
7,11,12,2,2,0,positive
8,5,8,2,4,0,very positive
7,12,19,3,4,0,positive
7,4,7,2,5,1,positive
7,12,14,2,4,0,positive
7,4,6,4,4,1,very positive
7,4,18,2,4,0,very positive
7,4,9,2,2,0,positive
7,12,7,3,2,0,very positive
5,5,11,1,4,1,very positive
7,5,12,2,4,1,very positive
6,13,11,4,5,1,very positive
5,13,22,2,5,0,positive
8,8,7,1,4,0,very positive
7,5,21,4,1,0,not positive
7,6,12,2,2,0,positive
7,12,12,2,4,0,not positive
8,5,9,2,5,1,very positive
8,4,6,3,4,1,very positive
7,11,9,3,1,1,very positive
7,13,11,3,2,1,very positive
8,12,18,2,4,0,very positive
8,7,9,1,4,0,very positive
6,6,16,2,2,1,not positive
7,12,16,2,5,0,positive
7,4,10,2,4,0,very positive
7,5,9,2,2,0,not positive
6,10,15,2,4,1,very positive
7,10,12,2,4,1,very positive
7,5,21,3,4,0,not positive
7,10,7,2,2,0,not positive
8,4,6,3,4,1,positive
6,4,7,3,4,1,positive
8,4,7,1,4,0,very positive
6,4,15,2,2,0,not positive
5,13,21,3,2,0,not positive
8,5,13,2,4,0,positive
7,9,13,3,4,0,positive
8,4,8,2,4,0,positive
6,13,13,1,2,0,not positive
7,4,8,2,4,1,positive
7,12,9,1,4,1,positive
8,4,12,2,4,0,not positive
8,4,6,1,5,0,very positive
6,6,8,2,2,0,positive
7,12,9,2,2,1,positive
8,12,6,2,4,0,very positive
8,4,7,2,4,0,positive
7,13,29,1,5,1,not positive
7,6,10,2,4,1,very positive
7,8,9,2,4,0,positive
8,7,6,1,4,1,very positive
8,4,11,1,4,0,very positive
7,12,11,2,2,1,positive
8,4,8,3,2,0,very positive
8,4,9,2,4,1,very positive
7,9,6,2,1,1,very positive
8,3,6,2,5,1,very positive
7,4,30,2,2,1,very positive
8,6,6,2,4,1,very positive
7,7,11,2,4,0,positive
7,12,7,2,4,0,positive
8,7,7,2,2,0,positive
8,4,16,2,2,0,positive
6,6,16,2,4,0,positive
6,3,8,3,1,1,not positive
7,3,8,2,4,0,very positive
7,13,13,1,4,0,very positive
6,13,11,1,5,1,positive
7,8,6,2,4,1,very positive
7,7,8,1,5,1,very positive
8,4,13,1,4,1,positive
6,10,15,3,5,1,very positive
7,12,8,2,4,1,positive
7,4,7,2,4,0,very positive
8,4,10,1,4,0,very positive
7,5,7,1,4,0,very positive
6,5,6,2,4,1,positive
6,12,9,2,4,0,positive
7,12,10,3,4,0,not positive
7,4,12,2,4,0,not positive
7,4,6,2,4,0,very positive
8,5,7,1,5,0,very positive
7,4,10,2,4,1,very positive
8,12,15,4,2,0,not positive
8,12,14,3,4,0,not positive
8,11,24,4,2,0,not positive
7,13,12,2,2,0,positive
8,5,6,2,2,0,very positive
8,3,16,4,1,0,not positive
5,13,8,2,2,0,not positive
7,13,8,2,4,1,very positive
8,3,6,1,5,1,very positive
7,5,6,1,5,0,very positive
8,6,7,2,5,1,very positive
7,4,12,2,4,0,very positive
7,5,6,2,2,0,positive
7,9,17,3,4,0,not positive
8,5,7,2,4,0,very positive
7,11,10,2,4,1,very positive
4,6,7,2,2,0,not positive
6,10,9,2,4,0,positive
7,12,17,2,2,0,not positive
7,4,6,2,4,0,very positive
7,13,22,4,4,0,not positive
6,7,18,2,4,0,positive
8,3,8,2,4,0,positive
7,6,13,1,5,1,very positive
8,4,9,2,4,0,very positive
7,6,13,1,4,1,not positive
7,7,12,2,2,0,positive
6,13,16,2,4,0,positive
7,12,11,2,1,1,not positive
8,4,7,2,4,1,positive
8,9,8,2,2,0,not positive
6,13,8,1,5,1,very positive
8,5,6,2,4,0,positive
8,4,6,2,5,0,very positive
8,4,7,1,2,1,not positive
6,12,16,4,4,0,not positive
6,12,12,2,4,0,positive
7,4,11,1,4,1,positive
8,6,19,1,5,0,very positive
8,3,6,2,2,0,positive
6,11,11,1,4,0,positive
5,13,10,1,4,0,positive
8,3,9,2,4,1,positive
7,5,7,4,2,1,very positive
8,9,11,2,2,0,positive
8,12,11,2,4,0,not positive
7,10,13,2,2,0,not positive
8,7,16,4,2,0,not positive
8,3,14,3,1,0,positive
7,10,8,1,4,0,positive
7,4,10,1,4,0,very positive
7,12,16,1,2,0,very positive
7,13,15,2,4,0,not positive
6,5,10,1,4,1,positive
6,5,7,2,4,0,very positive
8,9,7,2,4,0,very positive
7,10,8,1,4,0,very positive
7,10,10,3,4,0,positive
6,11,10,2,4,1,very positive
7,14,25,3,1,0,not positive
7,4,10,2,4,0,positive
8,3,6,2,4,0,very positive
6,7,7,2,2,0,positive
8,6,17,3,2,1,not positive
6,11,11,1,2,1,positive
6,7,9,3,4,0,very positive
7,4,7,1,4,0,very positive
7,12,15,2,4,1,positive
5,6,16,3,2,0,positive
7,11,12,3,4,0,positive
8,4,9,2,1,0,not positive
7,12,12,1,4,0,very positive
7,6,7,1,1,0,very positive
7,5,22,2,4,0,positive
7,13,7,2,5,1,very positive
7,8,7,3,4,1,very positive
7,13,12,2,2,0,positive
8,12,11,2,4,1,not positive
6,6,14,2,4,0,positive
7,4,8,1,4,0,very positive
6,12,8,1,4,1,very positive
8,6,8,2,4,1,very positive
7,13,11,2,4,1,very positive
8,5,14,1,4,0,positive
7,13,7,2,4,1,positive
7,10,8,2,4,0,positive
7,7,6,2,5,0,very positive
8,4,9,1,2,1,very positive
7,12,13,2,2,0,positive
7,4,6,1,4,0,very positive
7,7,6,1,5,0,very positive
8,3,6,1,5,1,very positive
8,12,6,1,4,1,not positive
7,12,6,2,5,1,positive
7,6,14,2,4,0,positive
8,3,14,1,4,0,positive
7,11,13,2,2,0,not positive
7,4,6,1,5,1,very positive
7,8,30,4,1,0,not positive
7,12,28,2,4,0,not positive
7,9,6,1,4,1,very positive
7,13,10,1,4,0,positive
7,7,9,2,4,1,very positive
7,4,11,1,2,0,very positive
7,4,19,2,2,0,not positive
8,4,7,3,2,0,positive
7,10,8,1,5,1,very positive
8,8,9,2,4,0,positive
8,11,6,1,2,1,very positive
7,13,8,2,4,0,very positive
7,7,8,2,4,0,very positive
7,6,11,2,4,0,positive
7,6,17,2,4,1,not positive
7,12,10,2,4,0,positive
8,8,6,2,4,0,positive
7,14,12,1,4,1,positive
7,12,9,2,4,0,positive
5,7,16,2,4,1,positive
7,4,6,1,4,0,positive
7,12,15,3,4,0,positive
7,10,15,2,2,0,not positive
7,6,8,2,4,0,very positive
8,3,8,1,3,0,very positive
7,5,12,2,2,0,very positive
6,6,13,2,2,1,not positive
